"weeknumber","precipitation"
399," 2.89"
400," 1.01"
401," 4.20"
402," 3.95"
403," 7.12"
404," 1.40"
405," 0.49"
406," 0.74"
407," 2.54"
408," 4.35"
409," 1.34"
410," 3.40"
411," 3.34"
412," 2.76"
413," 2.27"
414," 1.99"
415," 1.62"
416," 4.48"
417," 2.36"
418," 1.45"
419," 1.15"
420," 0.95"
421," 1.92"
422," 2.95"
423," 1.01"
424," 1.32"
425," 1.98"
426," 3.04"
427," 1.11"
428," 1.32"
429," 0.73"
430," 0.08"
431," 0.55"
432," 1.45"
433," 0.45"
434," 2.51"
435," 2.94"
436," 0.58"
437," 1.57"
438," 2.07"
439," 1.74"
440," 2.98"
441," 2.41"
442," 1.71"
443," 4.49"
444," 3.84"
445," 2.27"
446," 3.11"
447," 1.02"
448," 2.11"
449," 2.23"
450," 1.78"
451," 2.85"
452," 4.44"
453," 4.07"
454," 2.31"
455," 3.28"
456," 2.88"
457," 2.97"
458," 3.41"
459," 0.86"
460," 3.38"
461," 0.40"
462," 2.24"
463," 3.11"
464," 2.88"
465," 4.66"
466," 3.45"
467," 1.59"
468," 3.30"
469," 1.17"
470," 1.74"
471," 1.14"
472," 2.13"
473," 4.33"
474," 1.66"
475," 1.88"
476," 3.33"
477," 0.95"
478," 2.32"
479," 2.78"
480," 1.53"
481," 1.85"
482," 0.88"
483," 2.82"
484," 1.58"
485," 1.03"
486," 1.09"
487," 3.87"
488," 1.93"
489," 2.86"
490," 4.06"
491," 2.61"
492," 2.96"
493," 2.72"
494," 0.89"
495," 2.22"
496," 3.29"
497," 3.67"
498," 2.34"
499," 2.46"
500," 1.61"
501," 2.93"
502," 3.03"
503," 4.56"
504," 4.09"
505," 3.76"
506," 2.23"
507," 1.51"
508," 4.75"
509," 3.80"
510," 6.03"
511," 2.30"
512," 3.68"
513," 1.81"
514," 3.57"
515," 4.08"
516," 1.18"
517," 3.17"
518," 1.28"
519," 3.98"
520," 1.03"
521," 1.86"
522," 4.07"
523," 2.11"
524," 2.55"
525," 2.17"
526," 2.07"
527," 1.99"
528," 3.57"
529," 2.75"
530," 2.85"
531," 0.92"
532," 0.24"
533," 1.53"
534," 1.88"
535," 2.63"
536," 1.19"
537," 3.13"
538," 2.92"
539," 3.55"
540," 2.78"
541," 4.75"
542," 2.09"
543," 2.20"
544," 3.64"
545," 0.95"
546," 5.00"
547," 2.73"
548," 2.74"
549," 1.80"
550," 1.67"
551," 3.38"
552," 3.40"
553," 1.79"
554," 3.14"
555," 2.01"
556," 2.32"
557," 2.64"
558," 1.48"
559," 1.88"
560," 1.94"
561," 1.99"
562," 1.93"
563," 1.22"
564," 2.44"
565," 1.74"
566," 3.16"
567," 2.36"
568," 2.88"
569," 0.33"
570," 2.67"
571," 1.79"
572," 1.54"
573," 2.47"
574," 1.81"
575," 1.89"
576," 0.33"
577," 0.66"
578," 1.26"
579," 0.91"
580," 0.34"
581," 3.09"
582," 4.09"
583," 1.51"
584," 2.81"
585," 2.17"
586," 1.35"
587," 2.57"
588," 0.81"
589," 2.63"
590," 3.48"
591," 2.92"
592," 2.83"
593," 1.79"
594," 2.86"
595," 1.58"
596," 3.42"
597," 1.74"
598," 1.81"
599," 3.87"
600," 1.17"
601," 2.73"
602," 3.20"
603," 3.61"
604," 3.28"
605," 3.11"
606," 2.97"
607," 1.31"
608," 3.08"
609," 5.07"
610," 1.63"
