"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"385",1950,1,"    0.51","    3.22 ","   20.47 ","    5.29 ","    1.50 ","    0.92 ","    0.00 ","    3.41 ","    0.21","   19.90 ","    0.21","    0.51","   21.00","    0.92 ","    7.02 ","    0.92 ","    6.10 ","    0.58 ","    0.21","    0.34 ","    3.80 ","    1.15 ","    0.00 ","    1.50 ","   12.88 ","    1.15 ","    1.15 ","    3.80 ","    0.21","    0.58 ","    0.92 "
"386",1950,2,"    0.92 ","    0.92 ","    0.34 ","    0.21","    0.21","    0.00 ","    0.00 ","    2.30 ","    0.21","    5.52 ","    1.73 ","    1.15 ","    0.21","    1.73 ","    3.80 ","    2.88 ","    2.07 ","    3.45 ","    0.00 ","    0.00 ","    0.34 ","    0.00 ","    0.58 ","    0.58 ","    0.92 ","    0.21","    1.11 ","    3.18","NA","NA","NA"
"387",1950,3,"    2.65 ","    0.21","    0.00 ","    5.52 ","    0.58 ","    5.29 ","   15.53 ","   21.97 ","    0.58 ","    0.21","    0.21","    0.00 ","    0.21","    0.34 ","    0.21","    0.00 ","    0.21","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.74","    0.51","    0.00 ","    0.00 ","    0.00 ","   21.05 ","    5.29 ","    0.00 ","    0.00 ","    0.21"
"388",1950,4,"    0.58 ","    0.21","    0.21","    4.71 ","    0.00 ","    0.92 ","    2.30 ","    0.00 ","    0.00 ","    1.26 ","    9.48 ","    5.52 ","    1.15 ","    0.00 ","    0.00 ","    1.05 ","    1.57 ","    7.39 ","    1.32 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    4.44","    1.91 ","    4.37 ","    0.92 ","    0.21","    0.34 ","NA"
"389",1950,5,"    1.99","    0.21","    2.30","    0.30","   23.51 ","    3.68 ","    0.21","    0.00 ","    5.21 ","    1.26 ","    0.34 ","    0.21","    0.21","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","   27.47 ","   32.15 ","    0.30","    0.00 ","    0.00 ","    0.30","    1.26 "
"390",1950,6,"    0.00 ","   13.43 ","    4.17 ","    0.74","    0.74 ","    1.05 ","   12.59 ","    1.57 ","    1.05 ","    3.13 ","    0.00 ","    3.96 ","    0.00 ","    0.00 ","    7.39 ","    4.17 ","    0.00 ","    0.00 ","    3.96 ","    0.30","    1.78 ","    5.00 ","    1.05 ","    0.00 ","   11.03 ","   47.02 ","    2.09 ","    4.17 ","   11.03 ","   21.12 ","NA"
"391",1950,7,"    6.87 ","    1.78 ","    1.26 ","    1.78 ","    5.00 ","    0.00 ","    1.05 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    4.69 ","    1.26 ","    0.00 ","    5.73 ","    1.05 ","    3.65 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   13.11 ","    7.91 ","    7.91 ","    0.00 ","    1.78 ","    0.51","    0.30","    0.00 ","    0.00 ","    0.00 "
"392",1950,8,"    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    1.57 ","    0.00 ","    0.74 ","    0.00 ","    0.00 ","    2.09 ","    5.00 ","    0.00 ","    0.00 ","    0.30","    0.30","    3.13 ","    3.65 ","    0.74 ","   18.21 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.30"
"393",1950,9,"    0.30","    0.30","   15.30 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    1.57 ","    1.05 ","    0.00 ","    0.30","   19.46 ","    0.00 ","    2.30","    4.17 ","    4.51 ","    2.60","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    0.74 ","    1.26 ","    0.30","NA"
"394",1950,10,"    0.30","    2.30 ","    0.95","    2.09 ","    0.21","    0.30","    2.61 ","    0.30","    0.30","    0.00 ","    2.30 ","    2.51","    0.00 ","    0.00 ","    0.00 ","    5.00 ","    6.56 ","    4.17 ","   10.31 ","    2.67 ","    7.02 ","    1.50 ","    0.21","    0.00 ","    7.18 ","    2.65 ","    0.00 ","    0.00 ","    1.05 ","    0.00 ","    0.00 "
