"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"805",1950,1,"    3.80","   10.51","   24.71","    6.26","    2.68","   21.74","    0.00","    0.00","    7.39","    4.55","    0.00","    0.00","    8.15","    0.00","   11.46","    0.00","    0.00","    1.39","    0.00","    5.46","    1.43","    0.00","   10.99","    3.80","   11.27","    0.00","    0.00","    0.00","    0.48","    5.46","    0.00"
"806",1950,2,"    0.00","    0.00","    0.00","    0.00","    4.08","    0.96","    0.00","   10.51","    0.00","    0.00","    0.00","    2.68","    5.19","    8.81","    1.39","    2.68","    0.00","    6.48","    0.00","    0.00","    6.85","   10.92","    8.14","    8.14","    0.00","    0.00","    2.56","   10.99","NA","NA","NA"
"807",1950,3,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.90","    0.96","    0.00","    8.14","    8.14","    8.14","    0.00","    0.00","    0.00","    0.00","    8.14","    0.00","    0.00","    1.15","    2.56","    5.03","    2.09","    2.56","    0.00","   13.92","    8.81","    1.50","    0.00","    0.00","    3.80"
"808",1950,4,"    7.39","    9.38","   33.42","    5.03","    0.54","    0.00","    0.00","    0.00","    0.00","    3.32","    0.00","    2.68","    0.00","    0.00","    0.00","    0.00","    0.96","    0.00","    3.32","    1.50","    0.00","    1.15","   13.45","    4.55","    5.50","    0.00","    0.00","    0.00","    0.00","    3.80","NA"
"809",1950,5,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.09","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.26","    3.80","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.62"
"810",1950,6,"    0.48","    8.15","    7.68","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.57","    0.00","    0.00","   12.69","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   10.51","    0.00","    0.67","    0.67","    6.26","NA"
"811",1950,7,"    2.56","    5.03","    6.26","    6.26","    0.00","    0.00","    0.00","    0.00","    0.00","    2.85","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.85","    0.00","    0.00","   13.92","    0.00","    0.00","    0.00","   18.94","    0.00","    0.00","    7.39","    0.00","    0.00","    8.15","    1.15"
"812",1950,8,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.80","    0.00","    0.00","    0.00","    0.00","    0.00","    4.27","    5.69","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.96","    0.00","    0.00","   10.99","    2.56","    7.86","   17.52"
"813",1950,9,"    0.96","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.67","    0.00","    0.67","   20.64","    2.09","    0.00","    0.00","    0.00","    7.39","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","NA"
"814",1950,10,"    0.00","    0.00","    4.74","    0.00","    0.00","    0.00","    0.00","    0.00","   34.55","    0.96","   17.71","    0.00","    5.69","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.67","    0.00","    0.00","    5.97","    0.00","    0.00","    0.00","    0.00"
"815",1950,11,"    0.00","    0.00","    4.07","    8.14","    0.00","    0.00","    7.86","    9.09","    0.48","    0.00","    0.00","    0.00","    0.00","    1.15","    2.09","    0.67","    0.00","    0.00","   23.01","    0.00","    0.00","    0.00","    0.00","   16.28","   15.06","   19.06","    0.00","    5.46","    5.46","    0.00","NA"
"816",1950,12,"    5.03","    4.74","    2.09","    0.00","    0.00","   18.27","   19.66","    0.00","    0.00","    3.21","    2.68","   10.92","    1.39","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.00","    0.00","    0.00","    0.00","    8.14","    1.39","    0.00","    0.00","    0.00","    0.00","    0.00"
