"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"349",1950,1,"    0.74","    3.65","   11.55","    4.06","    0.00","    0.00","    0.00","    3.25","    0.00","    6.54","    0.00","    0.00","   24.03","    0.49","    9.25","    1.30","   12.82","    0.00","    0.00","    0.00","    2.92","    2.11","    0.00","   20.81","   54.27","    0.00","    0.00","    0.00","    0.49","    0.00","    1.30"
"350",1950,2,"    0.49","    0.00","    0.00","    0.00","    3.25","    0.00","    0.00","    0.00","    0.81","    6.65","    0.00","    0.00","    0.00","   42.84","    7.46","    0.00","    0.00","   27.26","    0.00","    0.00","    0.00","    0.00","    0.81","    0.00","    0.00","    0.00","    1.62","   12.82","NA","NA","NA"
"351",1950,3,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   10.83","   11.90","    1.30","    1.62","    3.25","    0.00","    0.00","    5.35","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.21","    0.00","    0.00","    0.00","    8.43","   24.02","   10.89","    1.30","    0.00","    8.28"
"352",1950,4,"   32.94","    2.92","    8.12","    1.26","    0.53","    0.00","    4.54","    0.00","    0.00","    6.87","   12.07","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.95","    0.81","    0.00","    1.30","    0.00","    0.00","    5.73","    0.81","    0.00","    0.00","    0.00","    0.00","NA"
"353",1950,5,"    0.00","    0.00","    9.99","    0.00","    0.00","    0.00","    0.00","    0.00","    3.34","    0.00","    0.00","    4.17","    0.00","    0.74","    0.00","    0.00","    4.48","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.87","    0.00","    0.00","    4.17","    6.56"
"354",1950,6,"    0.00","    3.65","    0.00","    0.00","    2.82","    0.00","    0.00","    0.00","    5.52","    0.00","    0.00","    0.00","    2.82","    0.00","    0.00","   10.83","    0.00","    0.00","    0.00","    1.57","    0.00","    0.00","    3.65","    0.00","    0.00","    4.17","    0.53","    0.00","    1.05","    2.09","NA"
"355",1950,7,"    0.00","    1.57","    1.78","    0.00","    0.00","   10.51","    0.00","    0.00","    0.00","    0.00","    5.73","    0.00","    5.00","    3.34","    0.00","   13.95","    2.30","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.73","    0.00","    2.09","    0.00","    0.00","   19.46","    0.00","    0.00"
"356",1950,8,"   44.31","    8.12","   11.35","    0.00","    0.00","    0.00","    0.00","    0.00","    4.69","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.53","    4.17","    0.00","    3.96","    0.00","    2.09","    2.61","    0.00","   15.51","    9.99","    6.56","    0.00","    0.53","    0.00"
"357",1950,9,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.96","    2.61","    0.74","    0.00","    0.00","    5.73","    0.00","    0.00","    0.00","    2.09","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.74","    0.74","NA"
"358",1950,10,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.99","    0.00","    0.74","    6.56","    6.87","    2.82","    0.00","    0.00","    0.53","    2.09","    0.53","    0.00","    0.00","    0.00","    0.00","    8.60","    0.00","    9.99","    0.00","    0.00","    2.30","    0.74","    0.00","    0.00","    0.00"
"359",1950,11,"    0.74","    0.00","    0.00","    0.00","    1.62","    5.21","    4.17","   13.20","    0.00","    0.00","    0.00","    0.00","    2.43","    0.00","   10.83","    1.05","    0.00","    0.00","   10.83","    0.00","    0.00","    0.00","    4.87","   13.14","   35.26","    6.07","    0.49","    6.17","    5.35","    0.49","NA"
"360",1950,12,"    0.00","    9.09","    2.11","    0.00","    0.00","    0.00","   39.10","    7.79","    3.25","    0.00","    0.00","    0.00","    0.00","    1.30","    0.49","    0.81","    0.00","    0.00","    1.30","    2.11","   10.71","    0.00","    9.41","    1.30","    0.00","    0.00","    2.92","    1.62","    0.49","    0.49","    0.00"
"361",1951,1,"    0.00","    6.25","   24.66","    0.00","    0.00","    0.00","    0.00","    0.81","    0.49","    0.00","    0.00","    0.00","    0.00","   15.25","    0.00","    0.00","    0.00","    0.00","    1.62","   22.72","    0.00","    2.11","   19.80","    2.11","    0.00","    0.00","    0.00","    0.00","    0.00","    0.49","    5.35"
