"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1321",1950,1,"    1.05 ","    7.60 ","   13.95 ","    2.82 ","    0.21","   23.88 ","    0.21","    1.00 ","    1.05 ","    8.12","    0.21","    0.30","    9.47 ","    0.21","   11.31 ","    0.00 ","    0.30","    0.38 ","    0.21","    1.00 ","    4.66 ","    2.93 ","    4.80","    4.07 ","    3.34 ","    0.51","    0.21","    0.53 ","    0.00 ","   15.25 ","    0.63 "
"1322",1950,2,"    0.00 ","    0.11","    0.00 ","    0.00 ","    0.11","    1.16","    0.11","    7.50 ","    4.28","    1.05 ","    0.00 ","    0.11","   25.38 ","   22.65 ","    1.16","    0.11","    0.00 ","    1.63 ","    0.00 ","    0.00 ","   34.88 ","   10.13 ","    0.11","    6.38 ","    0.11","    0.11","    0.00 ","    4.90","NA","NA","NA"
"1323",1950,3,"    0.11","    0.63 ","    0.00 ","    0.38 ","    0.00 ","    0.00 ","    0.53 ","    5.84","    0.38 ","    3.13 ","    3.90","    8.88 ","    2.88 ","    0.63 ","    0.11","    0.11","   14.25 ","    0.00 ","    0.11","    0.00 ","    0.00 ","    6.36 ","    3.09 ","    0.15","    0.00 ","   13.74 ","    3.13 ","    0.15","    0.63 ","    0.00 ","    0.00 "
"1324",1950,4,"    6.98","    6.11 ","   25.07 ","    2.82 ","    0.11","    0.00 ","    0.63 ","    0.11","    0.00 ","    1.78 ","    0.26","    0.11","    0.11","    0.00 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","    8.64 ","    0.15","    0.11","    2.09 ","    0.00 ","    0.15","    5.00 ","    0.00 ","    0.74 ","    0.00 ","    0.00 ","    0.74 ","NA"
"1325",1950,5,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    7.39 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    1.26 ","    0.15","    0.00 ","    0.15","    9.68 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    9.99 "
"1326",1950,6,"    0.15","    2.30 ","    1.05 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","    3.34 ","    0.15","    0.00 ","    0.15","    7.08 ","    0.00 ","    0.00 ","   14.99 ","    0.00 ","    0.15","    0.00 ","    0.15","    0.00 ","   21.85 ","    2.61 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.15","    3.96 ","    3.34 ","NA"
"1327",1950,7,"    0.00 ","    4.69 ","    0.15","    0.00 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.15","   13.43 ","    0.00 ","    0.00 ","    0.00 ","    3.96 ","    0.00 ","    3.34 ","    0.53 ","    0.00 ","    0.00 ","    0.00 ","    0.74 ","   45.35 ","    0.15","    0.00 ","    0.15","   17.17 ","   15.30 ","   12.07 "
"1328",1950,8,"    6.87 ","    0.15","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    1.26 ","   39.32 ","    5.73 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","   39.32 ","    5.73 ","    0.15","    5.52 "
"1329",1950,9,"    0.15","    0.00 ","    0.15","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    1.26 ","   14.26 ","    2.09 ","    1.05 ","    0.00 ","    0.00 ","    2.82 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","NA"
"1330",1950,10,"    0.00 ","    0.00 ","    7.91 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.15","   44.11 ","    4.48 ","   35.37 ","    3.34 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.15","    0.00 ","   10.83 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
