"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"721",1950,1,"    0.30","    4.48 ","    4.48 ","    4.17 ","    0.00 ","   11.30 ","    0.00 ","    0.00 ","    0.00 ","    8.12 ","    0.00 ","    0.00 ","   23.51 ","    0.00 ","    4.69 ","    0.00 ","    1.38 ","    1.05 ","    0.64 ","    2.54 ","    7.11 ","    3.18 ","    0.64 ","   19.97 ","    3.34 ","    0.00 ","    0.00 ","    0.21","    0.00 ","    2.54 ","   10.29 "
"722",1950,2,"    0.00 ","    0.30","    0.00 ","    0.00 ","    1.65 ","    1.91 ","    0.00 ","    3.18 ","   12.32 ","    0.00 ","    1.91 ","    0.00 ","    0.00 ","   15.41","   11.60","    0.38 ","    0.00 ","   11.30 ","    1.65 ","    0.00 ","    0.38 ","    9.65 ","    4.83 ","    6.48 ","    0.00 ","    0.00 ","    0.00 ","   12.95 ","NA","NA","NA"
"723",1950,3,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    7.06 ","    0.64 ","    0.00 ","    8.13 ","    0.00 ","    5.46 ","    8.13 ","    0.00 ","    0.00 ","    8.13 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.95","   32.18 ","    0.00 ","    0.00 ","    3.96 ","    4.69 ","    0.00 ","    0.68","    0.00 ","    0.00 "
"724",1950,4,"    5.00 ","    2.09 ","   18.94 ","    5.52 ","    0.00 ","    0.00 ","    0.00 ","    3.81 ","    0.00 ","    0.00 ","    1.99","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    9.99 ","    0.00 ","    0.00 ","    0.74 ","    0.74 ","    0.00 ","    7.60 ","    0.00 ","    2.82 ","    0.00 ","    0.00 ","    0.00 ","NA"
"725",1950,5,"    0.30","    0.00 ","    1.57 ","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.57 ","    0.30","    0.00 ","    1.78 ","    0.74 ","    0.74 ","    0.30","    0.00 ","    3.65 ","    3.65 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   16.86 ","    0.74 ","    5.21 ","    3.96 ","   31.63 "
"726",1950,6,"    7.39 ","    4.48 ","    2.61 ","    0.00 ","    0.00 ","    0.74 ","    0.00 ","    0.00 ","    0.74 ","    0.74 ","    0.00 ","    0.00 ","    1.26 ","    0.00 ","    0.00 ","   11.87 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   24.76 ","    0.74 ","    0.00 ","    0.30","    0.00 ","    8.43 ","    1.26 ","    0.00 ","NA"
"727",1950,7,"    0.00 ","    5.00 ","    0.00 ","    1.26 ","   32.67 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    1.26 ","    0.30","    0.00 ","    9.47 ","    0.00 ","    0.00 ","    9.47 ","   71.04 ","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    9.16 ","    1.26 ","    1.57 ","    0.00 ","    0.00 ","    0.00 ","    9.47 ","    0.00 ","    2.09 "
"728",1950,8,"   23.20 ","   21.85 ","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    1.26 ","    0.00 ","    4.17 ","    0.74 ","    8.95 ","    6.87 ","    6.87 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.74 ","    2.82 ","    5.52 ","   10.83 ","   13.43 ","    0.00 ","    0.74 "
"729",1950,9,"    0.00 ","    0.00 ","    4.17 ","    2.09 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.26 ","    0.00 ","    0.00 ","   14.47 ","    7.08 ","    3.34 ","    0.00 ","    0.00 ","    5.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.74 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","NA"
"730",1950,10,"    0.00 ","    0.00 ","    1.26 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   11.35 ","    6.56 ","   13.74 ","    2.30 ","    0.30","    0.00 ","    0.00 ","   10.31 ","    2.82 ","    0.00 ","    0.00 ","    0.00 ","    2.61 ","    0.30","    1.26 ","    2.09 ","    0.00 ","    0.00 ","    1.05 ","    0.30","    0.00 ","    0.00 ","    0.00 "
