"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1",1950,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2",1950,2,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"3",1950,3,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"4",1950,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"5",1950,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"6",1950,6,"    0.00","    0.00","    0.00","    0.00","    2.62","    0.49","    9.29","    6.88","    3.69","    1.94","    0.00","    3.88","    0.00","    0.00","   35.31","    0.00","    0.14","    0.14","    7.36","    1.17","    0.00","   17.61","    0.00","    0.00","   14.23","    6.39","    0.00","    0.14","    3.69","    0.00","NA"
"7",1950,7,"    0.00","    0.49","    0.49","    3.39","    0.14","    0.00","    0.00","    0.00","    0.00","    0.00","    0.14","    4.65","    0.69","    0.00","   13.74","    5.62","    6.59","    0.00","    0.00","    0.00","    0.00","    0.00","    0.14","    0.00","    0.69","    7.84","    0.00","   16.45","    1.65","    0.00","    0.00"
"8",1950,8,"    0.00","    0.00","    0.00","    0.00","    0.00","    4.85","   22.35","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.14","    0.00","    0.00","    0.00","    2.43","    2.43","    6.10","    0.00","   12.00","    0.00","   44.89","    0.00","    0.00","    0.00","    0.00","    0.00","    6.59","    0.00"
"9",1950,9,"    0.00","   14.90","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.98","    0.00","    0.00","    0.14","    0.00","    4.17","    2.43","    1.17","    0.13","    0.00","    0.27","    0.00","    5.14","    0.00","    0.00","    5.14","    0.00","    1.17","    0.14","NA"
"10",1950,10,"   27.96","   45.66","    0.14","    0.14","    0.00","    5.14","    0.14","    1.46","    0.00","    0.00","    1.94","    0.00","    0.00","    0.00","    9.58","    0.00","    2.14","    4.65","    0.13","   13.22","    0.00","    0.00","    0.00","   14.42","    0.00","    0.00","    7.07","    0.00","    0.00","    0.00","    0.00"
"11",1950,11,"    0.00","    0.13","    0.13","    0.65","    3.24","    6.61","    0.00","    3.24","    9.85","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.92","    6.61","    4.92","    0.00","    0.00","    0.00","   13.22","    0.13","    0.00","   16.46","    4.92","    1.68","    1.68","    0.00","NA"
"12",1950,12,"    1.68","    1.68","    4.92","    0.00","    0.00","    0.00","    8.29","    6.61","    1.68","    1.68","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","    0.00","    0.65","    0.00","    4.92","    0.00","    1.68","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00","    0.00"
"13",1951,1,"    1.68","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.13","    0.13","    1.68","    3.24","    0.00","    1.68","    0.00","    0.65","    0.00","    0.13","    0.00","    0.00","    0.00","    0.00","    1.68","    4.92","    0.00","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"14",1951,2,"NA","NA","    0.65","NA","    4.92","NA","NA","NA","NA","    3.24","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","    0.13","NA","NA","    0.13","    4.28","    6.61","NA","NA","NA","NA","NA"
"15",1951,3,"    1.68","    0.65","   14.77","    0.00","    1.04","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.92","    3.24","    1.68","    0.00","    3.24","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.24","   16.46","    6.61"
"16",1951,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"17",1951,5,"    0.00","    0.00","    0.00","    0.14","    0.00","    0.00","    0.14","    1.17","    0.00","    0.00","    0.00","    0.00","    0.14","    0.14","    0.00","    0.00","    0.00","    1.46","    0.98","   11.71","    0.14","    0.00","    0.14","    0.00","    0.00","    5.62","    0.00","    0.00","    0.00","    0.00","    0.00"
"18",1951,6,"    0.00","    2.43","    0.14","    0.14","    2.43","    0.00","    0.00","    0.00","    8.04","    0.14","    0.00","    0.14","    0.00","    0.49","    7.84","    2.43","    0.00","    0.00","   15.97","   32.41","    0.00","    8.81","    0.00","    0.00","    0.00","   15.68","    6.88","    4.36","    3.39","    1.46","NA"
"19",1951,7,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.14","    0.00","    0.00","    0.00","    0.00","    0.14","    1.65","    0.00","    0.00","    1.65","    0.00","    0.00","    1.17","    9.29","    0.14","    1.17","    0.00","    0.00","    0.14","    1.46","    0.00","    0.00","    2.62","    2.43","    7.36","    1.17"
"20",1951,8,"    9.78","    4.85","    0.00","    0.00","    0.00","    0.00","    0.00","    4.65","    0.00","    0.98","    0.00","    0.00","    0.00","    0.69","    0.00","    0.00","    0.00","    0.00","    4.65","    8.04","    0.00","    0.00","    0.00","    0.69","    1.46","    0.49","    0.00","    0.00","    0.00","    0.49","    0.49"
