"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"421",1950,1,"    1.78 ","    6.56 ","    7.60 ","    2.41","    0.21","    0.00 ","    0.94 ","    0.21","    0.21","    7.60","    0.00 ","    0.30","   22.37 ","    0.35 ","    6.81 ","    1.17 ","    9.24 ","    0.58 ","    0.58 ","    6.20 ","    5.03 ","    4.04 ","    0.58 ","    3.03 ","   26.32 ","    1.24","    0.21","    0.53 ","    0.88","    0.21","    2.34 "
"422",1950,2,"    3.86 ","    1.75 ","    0.21","    0.00 ","    3.86 ","    0.94 ","    0.00 ","    5.03 ","    0.58 ","    2.92 ","    4.45 ","    0.00 ","    0.00 ","   13.40","   10.36","    2.34 ","    0.21","   12.75 ","    0.00 ","    0.00 ","    0.00 ","    2.34 ","    4.80 ","    2.34 ","    0.58 ","    0.21","    0.35 ","   18.08 ","NA","NA","NA"
"423",1950,3,"    1.52 ","    0.21","    0.00 ","    0.58 ","    0.21","    0.00 ","   12.39 ","    7.48 ","    0.94 ","    2.34 ","    5.62 ","    0.00 ","    0.00 ","    2.34 ","    0.94 ","    0.00 ","    0.35 ","    0.35 ","    0.00 ","    0.00 ","    0.00 ","    1.92 ","    1.24","    0.00 ","    0.00 ","    6.08 ","   17.38 ","    4.04 ","    2.11 ","    0.00 ","    0.21"
"424",1950,4,"    4.80 ","    3.58","    9.50 ","    7.81","    0.35 ","    0.00 ","    1.75 ","    0.21","    0.00 ","    2.30 ","    8.14 ","    0.21","    0.00 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.51","    9.37 ","    0.35 ","    0.58 ","    0.94 ","    0.21","    0.00 ","    5.73","    1.99","    0.21","    0.21","    0.00 ","    0.00 ","NA"
"425",1950,5,"    0.30","    0.00 ","   13.95 ","    0.74 ","    0.00 ","    5.94 ","    0.00 ","    0.00 ","    5.21 ","    0.74 ","    0.30","    7.60 ","    0.00 ","    2.30 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    2.09 ","    3.13 ","    0.53 ","    0.00 ","    0.00 ","   11.03 "
"426",1950,6,"    0.00 ","   10.31 ","    0.00 ","    0.30","    1.05 ","    2.61 ","    0.00 ","    0.00 ","    7.39 ","    0.30","    0.00 ","    0.00 ","   10.51 ","    0.30","    0.00 ","   16.69 ","    0.00 ","    0.00 ","    0.30","   10.51 ","    0.00 ","    0.30","    5.52 ","    0.00 ","    0.74 ","   14.99 ","    0.53 ","    6.04 ","    0.53 ","    6.25 ","NA"
"427",1950,7,"    0.30","    5.00 ","    3.65 ","    6.04 ","    0.00 ","    1.26 ","    1.26 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    3.13 ","   16.86 ","    5.21 ","    0.00 ","    5.00 ","   12.91 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    2.30 ","    0.30","   26.11 ","    1.05 ","   11.03 ","    2.30 ","    2.82 ","    5.52 ","    0.00 ","    0.00 "
"428",1950,8,"   20.81 ","   13.95 ","    9.99 ","    1.57 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    3.13 ","    0.00 ","   11.03 ","   11.03 ","    1.05 ","    1.05 ","    2.82 ","    0.00 ","    3.65 ","    0.00 ","    0.30","    0.00 ","    1.26 ","   22.16 ","    8.95 ","    6.87 ","    2.09 ","    1.05 ","    2.09 "
"429",1950,9,"    0.00 ","    0.00 ","    3.34 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.21 ","    0.53 ","    2.30 ","    0.00 ","    0.00 ","   18.94 ","    0.00 ","    0.30","    0.30","    3.34 ","    1.52 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","NA"
"430",1950,10,"    0.00 ","    4.17 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.53 ","    1.57 ","    2.82 ","    1.57 ","    2.09 ","   12.91 ","    0.21","    0.00 ","    0.00 ","    7.60 ","    3.13 ","    0.30","    0.74 ","    0.53 ","    6.16 ","   13.10 ","    0.21","    7.81","    0.21","    0.00 ","    1.78 ","    0.53 ","    0.00 ","    0.00 ","    0.00 "
