"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1009",1950,1,"    0.15","    5.52","   13.74","    2.82","    0.00","   12.71","    0.00","    0.00","    0.00","   19.46","    0.00","    0.00","    7.91","    0.00","    6.25","    0.00","    0.00","    0.00","    0.00","    5.63","    4.98","    6.03","    0.65","    7.33","    0.00","    0.00","    0.00","    0.00","    0.00","    3.27","    0.12"
"1010",1950,2,"    0.00","    6.68","    1.70","    0.00","    0.00","    0.00","    0.00","    9.95","    3.27","    3.93","    3.27","    0.00","    8.38","   13.36","    2.30","    1.70","    0.00","    9.95","    0.00","    0.00","    6.68","   11.66","    3.27","    2.62","    0.00","    0.00","    0.00","   11.66","NA","NA","NA"
"1011",1950,3,"    1.70","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.61","    0.00","    0.00","    6.03","   10.61","    6.68","    0.00","    0.00","    0.00","   18.34","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   10.83","    2.09","    0.00","    0.00","    0.00","    0.00"
"1012",1950,4,"    2.62","   13.77","   12.07","    0.00","    6.04","    0.00","    8.38","    0.00","    0.00","    5.63","    2.09","    0.00","    1.70","    0.00","    0.00","    2.30","    1.57","    0.00","    6.87","    0.00","    0.00","    8.95","    0.00","    0.00","    8.95","    0.00","    1.78","    0.00","    0.00","    0.00","NA"
"1013",1950,5,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.82","    0.00","    0.00","    0.00","    0.00","    0.00","    0.15","    0.00","    0.00","    1.78","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.12"
"1014",1950,6,"    2.82","   16.86","    3.13","    0.00","    0.00","    0.00","    0.00","    0.00","    3.34","    7.60","    5.52","    1.78","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.35","    0.00","    0.00","    0.00","    0.00","    6.87","    1.78","    0.00","NA"
"1015",1950,7,"    1.78","    5.52","    0.00","    1.26","    1.05","    0.00","    0.00","    0.00","    0.00","    6.25","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    4.48","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.65","    0.00","    0.00","    0.00","    0.00","    0.00","    1.26","   32.46"
"1016",1950,8,"    2.82","    3.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.43","    0.00","    0.00","    0.00","    0.74","    0.00","    0.00","    0.00","    1.05","    0.00","    7.60","    0.00","    0.00","    0.00","    0.00","    0.00","    1.57","    0.00","    0.00","   10.51","    0.00","   39.84","    0.00"
"1017",1950,9,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   13.74","    1.05","    4.17","    0.00","    0.00","    0.00","    7.39","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","NA"
"1018",1950,10,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   19.25","    7.60","   17.38","    1.57","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    4.17","    0.00","    0.00","    4.69","    0.00","    0.00","    0.00","    0.00"
"1019",1950,11,"    0.00","    0.00","    3.93","    0.00","    0.00","   22.68","    0.00","    1.78","    1.05","    0.00","    0.00","    1.05","    0.00","    2.61","    5.00","    1.78","    0.00","    0.00","   18.42","   11.55","    0.00","    0.00","    0.00","    2.43","   14.11","    7.60","    4.98","    3.93","    9.95","    0.00","NA"
"1020",1950,12,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"1021",1951,1,"    0.00","    4.48","   18.94","    0.00","    9.95","   13.36","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.30","    0.00","    0.00","    0.00","    0.00","    0.00","    0.15","    0.00","    0.00","    1.70","    0.65","    0.00","    1.05","    0.00","    1.70","    1.70","    0.00","    8.38"
"1022",1951,2,"   14.01","    0.00","    0.00","    0.00","    0.00","    4.98","    1.70","    0.00","    0.00","    4.32","    0.00","    0.00","    0.00","    0.00","    0.00","    8.12","    0.00","    0.00","   10.51","    0.00","    5.73","    0.00","    0.00","    0.00","    0.00","    7.08","    0.00","    4.98","NA","NA","NA"
