"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"313",1950,1,"    0.00 ","    7.91 ","    7.08 ","    3.13 ","    0.00 ","   12.34 ","    0.11","    0.00 ","    0.00 ","    8.12 ","    0.00 ","    0.00 ","   13.74 ","    0.00 ","    6.87 ","    0.00 ","    3.03 ","    0.00 ","    0.00 ","    0.00 ","    1.57 ","    7.02 ","    0.11","   16.11 ","    7.08 ","    0.00 ","    0.00 ","    2.09 ","    0.00 ","    9.20 ","    0.00 "
"314",1950,2,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    7.74 ","    0.00 ","    5.20 ","    0.00 ","    0.00 ","   26.14 ","    4.60 ","    0.00 ","    0.00 ","    7.74 ","    4.60 ","    0.00 ","    3.03 ","   12.34 ","    1.57 ","    3.03 ","    0.00 ","    0.00 ","    0.00 ","    4.60 ","NA","NA","NA"
"315",1950,3,"    5.57 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   19.77 ","    0.00 ","    0.00 ","    0.61 ","    0.00 ","   12.34 ","    3.03 ","    0.00 ","    0.00 ","   27.71 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.20 ","    7.74 ","    0.00 ","   11.55 ","    5.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
"316",1950,4,"    3.03 ","    8.44 ","   18.73 ","   10.31 ","    0.00 ","    0.00 ","    0.00 ","    0.11","    0.00 ","    0.00 ","    5.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   12.07 ","    0.00 ","    0.00 ","    2.09 ","    0.00 ","    0.00 ","    4.48 ","    0.00 ","    3.34 ","    0.00 ","    0.00 ","    0.00 ","NA"
"317",1950,5,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.00 ","    0.00 ","    1.05 ","    0.00 ","    0.00 ","    4.17 ","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    8.64 ","    0.00 ","    7.39 ","    0.00 ","   53.57 "
"318",1950,6,"    1.26 ","    3.65 ","    1.57 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.78 ","    0.00 ","    0.00 ","    0.00 ","    2.09 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    9.16 ","    2.30 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","NA"
"319",1950,7,"    0.00 ","    3.34 ","    0.00 ","    0.00 ","    1.26 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.05 ","    1.26 ","    0.00 ","   11.03 ","    0.00 ","    0.00 ","    0.00 ","    1.78 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.73 ","    0.00 ","    0.00 ","    0.00 ","    1.57 ","   15.51 ","    3.96 ","    0.74 "
"320",1950,8,"   21.64 ","    5.00 ","    0.00 ","    8.64 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","    0.53 ","    6.56 ","    3.34 ","    2.61 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    3.34 ","    0.00 ","    1.05 ","   11.03 ","    0.00 ","    0.00 ","    0.00 "
"321",1950,9,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   14.26 ","    0.00 ","    0.00 ","    2.30 ","    8.12 ","    1.57 ","    0.00 ","    0.00 ","    4.48 ","    0.00 ","    0.00 ","    2.09 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","NA"
"322",1950,10,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.74 ","    8.64 ","    4.48 ","   10.31 ","    5.52 ","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    3.34 ","    0.00 ","    0.00 ","    0.00 ","    1.05 ","    0.00 ","    0.00 ","    1.05 ","    0.00 ","    0.00 ","    1.05 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
"323",1950,11,"    0.00 ","    0.00 ","    4.60 ","    3.03 ","    0.00 ","    0.00 ","    0.00 ","    1.78 ","    8.12 ","    0.00 ","    0.00 ","    0.00 ","    0.61 ","    0.00 ","    8.43 ","    8.43 ","    0.00 ","    0.00 ","    2.82 ","   18.73 ","    0.00 ","    0.00 ","    0.00 ","    8.64 ","   18.21 ","    9.20 ","    0.00 ","    2.42 ","    1.57 ","    0.00 ","NA"
"324",1950,12,"    0.61 ","    2.30 ","    5.52 ","    0.00 ","    0.00 ","    0.00 ","    9.47 ","    3.03 ","    0.00 ","    2.42 ","    6.17 ","    0.00 ","    0.00 ","    0.36 ","    1.57 ","    0.61 ","    4.60 ","    0.00 ","    0.00 ","    0.00 ","    4.60 ","   10.77 ","    1.57 ","    3.03 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
"325",1951,1,"    0.00 ","    7.08 ","   22.16 ","    0.00 ","    5.57 ","    6.17 ","    0.00 ","    0.00 ","    0.00 ","    2.18 ","    6.17 ","    0.00 ","    0.00 ","   13.79 ","    0.11","    0.00 ","    0.00 ","    0.00 ","    2.82 ","   17.17 ","    0.00 ","    0.00 ","   19.97 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    3.03 ","    0.00 ","    0.00 ","   16.94 "
"326",1951,2,"   15.37 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    7.74 ","    0.00 ","    0.00 ","    0.00 ","    0.61 ","    1.05 ","    3.34 ","    0.26","    0.00 ","    0.00 ","    0.00 ","    9.20 ","    0.00 ","    6.56 ","    0.00 ","    5.84","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.21 ","    2.93","    6.17 ","NA","NA","NA"
"327",1951,3,"    3.03 ","    0.00 ","    9.20 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   12.49","    9.20 ","    0.00 ","    0.11","    0.00 ","   11.19 ","    0.00 ","    0.00 ","    1.57 ","    6.17 ","    1.57 ","    1.57 ","    0.00 ","    0.00 ","    0.00 ","    8.64 ","   27.99 ","    0.00 "
"328",1951,4,"   10.83 ","    0.00 ","    0.85","    1.89","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.57 ","    0.15","   20.60 ","    4.17 ","    3.13 ","    5.11","    2.78 ","    0.00 ","    7.99 ","    0.00 ","    0.00 ","    0.00 ","   18.73 ","    0.00 ","    1.05 ","   29.75 ","    0.00 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","NA"
