"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"853",1950,1,"    5.00","    3.65","    8.12","    6.56","    0.00","    2.28","    8.65","    0.00","    0.00","   14.89","    1.48","    0.00","   14.58","    2.05","    2.28","    1.48","    0.00","    5.10","    2.28","    2.05","    6.60","    4.33","    2.28","    5.81","    6.87","    0.12","    0.00","    1.48","    0.57","    6.60","    0.00"
"854",1950,2,"    0.91","    1.48","    1.48","    0.00","    0.00","    0.00","    0.00","   15.94","    2.85","    2.05","    2.28","    0.00","    0.00","    5.96","    2.85","    0.34","    0.00","    8.99","    4.33","    3.76","   12.98","   14.46","    4.90","    2.28","    8.65","    0.00","    0.00","    4.33","NA","NA","NA"
"855",1950,3,"   11.27","    5.24","    8.65","    0.00","    0.00","    0.00","    0.00","    4.90","    9.56","    4.33","    6.38","    1.48","    2.28","    2.85","    0.57","   22.54","    0.00","    0.00","    0.00","    0.00","    0.00","    1.05","    0.00","    0.00","    0.00","   28.51","   10.43","    1.48","    0.00","    0.00","    0.00"
"856",1950,4,"   13.95","    6.04","   19.46","   11.35","    0.00","    0.00","    1.57","    0.15","    0.00","    0.00","    0.57","    5.81","    0.91","    0.00","    0.00","    0.00","    0.00","    0.00","   10.95","    0.00","    0.12","    0.00","    0.00","   10.51","    0.00","    0.00","    0.00","    1.48","    0.00","    0.00","NA"
"857",1950,5,"    0.00","    0.00","    0.00","    6.94","    0.00","    0.00","    0.00","    0.00","    4.33","    7.29","    0.00","    0.00","    0.00","    0.00","    0.00","   20.83","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.19","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.61"
"858",1950,6,"    0.00","    0.00","    3.65","    3.96","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.03","    0.00","   66.26","    0.00","    0.00","    9.99","    0.00","    0.00","    4.69","    9.16","NA"
"859",1950,7,"   15.30","    2.82","    5.21","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   11.35","   28.71","    0.00","    0.15","    0.00","    0.00","    0.00","    0.00","    0.15","    0.00","    0.00","    0.00","    0.00","    0.00","    5.73","    2.61"
"860",1950,8,"    4.48","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    7.60","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.73","    0.00","    9.99","    1.26","   72.08","    4.17","    2.09"
"861",1950,9,"    0.00","    0.00","    1.26","    0.74","    3.65","    0.00","    0.00","    0.00","    0.00","    0.74","    3.13","    0.00","    0.00","    0.00","    6.56","    0.00","    0.00","    0.00","    0.00","    0.00","    6.87","    0.00","    6.56","    0.00","    0.00","    2.61","    0.00","    0.00","    0.00","    0.00","NA"
"862",1950,10,"    3.96","    0.00","    1.26","    0.00","    2.09","    0.00","    0.00","    8.64","   17.69","    3.96","    5.52","    9.99","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.96","    0.00","    0.00","    0.00","    1.78","    0.00","    0.00","    0.00"
