"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"109",1950,1,"    0.21","    6.10 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.21","    1.50 ","    1.15 ","    6.10 ","    0.21","    6.67 ","    0.21","    0.92 ","    3.80 ","    0.34 ","    0.00 ","    0.21","    0.00 ","    0.00 ","    1.15 ","    0.21","    0.00 ","    4.95 ","    0.34 ","    0.58 ","    0.00 ","    3.80 ","    0.21","    0.00 ","    0.21"
"110",1950,2,"    0.34 ","    0.21","    1.50 ","    0.21","    0.00 ","    0.00 ","    1.50 ","    1.73 ","    0.21","    0.21","    0.92 ","    0.21","    0.21","    0.21","    0.00 ","    0.00 ","    2.30 ","    0.21","    0.21","    3.22 ","    0.58 ","    2.07 ","    0.92 ","    0.34 ","    0.21","    0.21","    2.65 ","    6.44 ","NA","NA","NA"
"111",1950,3,"    0.34 ","    0.00 ","    0.00 ","    4.14 ","    0.00 ","    4.71 ","    0.21","    0.00 ","    0.21","    0.21","    0.21","    0.00 ","    0.21","    0.21","    0.21","    0.21","    1.15 ","    0.21","    0.21","    0.00 ","    1.15 ","    0.21","    0.00 ","    0.00 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    2.07 ","    0.21"
"112",1950,4,"    0.00 ","    0.00 ","    0.00 ","    0.21","    0.00 ","    3.80 ","    0.00 ","    0.00 ","    0.21","   10.23 ","    3.22 ","    0.00 ","    0.00 ","    0.00 ","    0.21","    3.34","    0.21","   11.19 ","   11.73 ","    1.15 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    3.22 ","   13.69 ","    7.59 ","    0.92 ","    0.34 ","    2.30 ","NA"
"113",1950,5,"    2.65 ","    0.21","    0.00 ","    0.21","    3.97 ","    0.21","    0.00 ","    0.30","    8.74 ","    1.50 ","    0.00 ","    0.34 ","    6.10 ","    3.64 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.05 ","    1.57 ","    0.53 ","    0.00 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   18.73 ","    2.09 "
"114",1950,6,"    0.53 ","    3.34","    1.99","    0.30","    4.69 ","    0.53 ","    0.30","   11.35 ","   23.20 ","    0.53 ","    0.30","    5.52 ","    2.82 ","    3.13 ","   12.39 ","    0.30","    0.00 ","    9.99 ","    7.08 ","    7.39 ","    0.30","   16.55 ","    1.26 ","    0.30","    0.30","    0.74 ","   15.30 ","   11.03 ","    0.53 ","    0.00 ","NA"
"115",1950,7,"    0.30","    3.96 ","    0.74 ","    2.30 ","    0.00 ","    0.30","    1.57 ","    9.16 ","    0.74 ","    0.00 ","   30.38 ","    7.08 ","    2.09 ","    0.00 ","    9.99 ","    1.57 ","    7.60 ","    0.30","    0.00 ","    0.00 ","    4.17 ","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    2.82 ","    0.00 ","    2.61 ","    0.00 ","    0.00 ","    0.00 "
"116",1950,8,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.74 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.74 ","    0.00 ","    7.39 ","    1.05 ","    7.39 ","    2.30 ","    6.04 ","    1.78 ","   15.30 ","    0.53 ","    0.00 ","    0.00 ","    1.57 ","    0.53 ","    0.00 ","    2.30 ","    9.16 ","    1.05 "
"117",1950,9,"    0.00 ","    6.87 ","    4.48 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.05 ","    0.30","    0.30","    0.00 ","    0.53 ","    0.00 ","    0.30","    1.26 ","    0.51","    1.26 ","    2.09 ","    0.00 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","    0.74 ","NA"
"118",1950,10,"    0.74 ","   20.97 ","    1.66 ","    2.30","    0.00 ","    0.00 ","   29.03 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.78 ","    0.21","    2.65 ","    1.39 ","    4.14 ","    1.45","    6.10 ","    1.50 ","    0.21","    0.21","    1.50 ","    2.88 ","    0.00 ","    0.00 ","    0.30","    0.30","    0.21","    0.21","    0.21"
