"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"1009",1950,1,"    2.61 ","    9.16 ","   22.16 ","    5.52 ","    1.28 ","   16.94","    0.21","    0.00 ","   10.83 ","    2.61 ","    0.00 ","    0.53 ","   11.35 ","    0.00 ","   11.33 ","    0.00 ","    0.30","    0.38 ","    0.21","    7.81 ","    0.30","    0.30","   14.78 ","    3.96 ","   20.81 ","    0.21","    0.00 ","    0.30","    0.30","    7.17 ","    0.21"
"1010",1950,2,"    0.21","    0.00 ","    0.00 ","    0.00 ","    1.05 ","    0.00 ","    0.00 ","   14.47 ","    0.00 ","    0.30","    0.00 ","    8.83 ","   27.32 ","   18.42 ","    0.64 ","    1.66 ","    0.21","    3.50","    0.21","    0.64 ","    6.53 ","   17.92 ","    3.20 ","    0.64 ","    0.21","    0.00 ","    5.73","    7.53 ","NA","NA","NA"
"1011",1950,3,"    2.30 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    2.82 ","    0.21","    0.00 ","    9.73 ","    4.58 ","    4.86 ","    0.64 ","    0.21","    0.00 ","    0.38 ","    3.04 ","    0.00 ","    0.00 ","    0.53 ","    0.30","    3.65 ","    0.30","    5.31 ","    1.26 ","   30.80","    9.68 ","    0.51","    0.21","    0.00 ","    6.04 "
"1012",1950,4,"    5.52 ","   10.83 ","   36.10 ","    3.86","    2.94 ","    0.00 ","    0.74","    0.00 ","    3.13 ","    2.61 ","    1.05 ","    0.64 ","    0.21","    0.00 ","    0.00 ","    0.30","    0.74 ","    0.30","    6.56 ","    0.74 ","    0.95","    2.30 ","   31.42 ","   12.91 ","    7.08 ","    0.00 ","    1.99","    0.00 ","    2.30 ","    3.96 ","NA"
"1013",1950,5,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","    0.00 ","   11.55 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.30","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    2.82 ","    0.00 ","   20.60 ","    5.73 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","   18.94 "
"1014",1950,6,"    0.00 ","   19.25 ","    1.05 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   13.11 ","    0.00 ","    0.74 ","    0.00 ","   19.46 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.57 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    2.82 ","    1.57 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","NA"
"1015",1950,7,"    1.57 ","   16.03 ","    2.82 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    1.57 ","    0.00 ","    0.00 ","    0.00 ","    7.60 ","    0.00 ","   41.40 ","    1.57 ","    0.00 ","    0.00 ","    0.74 ","    4.69 ","    0.00 ","    0.00 ","    2.30 ","    0.00 ","    4.48 ","    0.30","    5.21 "
"1016",1950,8,"    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","   10.31 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    3.96 ","    7.39 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    7.39 ","    0.00 ","    0.53 ","   16.86 "
"1017",1950,9,"    1.57 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.78 ","    6.04 ","   27.15 ","   48.27 ","    4.17 ","    2.61 ","    0.00 ","    0.00 ","    0.00 ","    8.43 ","    0.00 ","    0.00 ","    2.30 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","NA"
"1018",1950,10,"    0.00 ","   14.99 ","    3.65 ","    0.00 ","    0.00 ","    0.00 ","    2.09 ","   10.51 ","   36.72 ","    0.53 ","    7.60 ","    0.74 ","    8.95 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.53 ","   13.95 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
