"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"481",1950,1,"    0.16","   20.11","    0.00","    0.00","   10.05","    0.00","    0.00","    3.31","    0.16","    6.91","    1.72","    0.00","    0.13","   10.05","   30.30","    0.00","    0.00","    0.00","    0.00","    1.72","    1.72","    0.00","    0.00","   10.21","   10.05","    0.00","    6.75","    3.31","    0.00","    0.13","    0.00"
"482",1950,2,"    1.72","    0.00","    0.13","    0.00","    0.00","    0.00","    6.75","    3.31","    0.00","    1.72","    0.00","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00","   23.55","    3.31","   16.80","   13.49","    0.00","    0.00","    0.00","    3.31","    3.31","NA","NA","NA"
"483",1950,3,"    0.00","    0.00","    0.00","    6.75","    0.00","    3.31","    0.29","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.31","    0.13","    3.31","    0.00","    0.00","    0.00","    0.00","    1.72","    1.72","    0.00","    0.00","    0.00","   10.05","   10.05","    0.00","    0.00","    0.00","    0.00"
"484",1950,4,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"485",1950,5,"    0.00","    0.13","    0.13","   33.06","   29.61","    0.13","    0.00","    0.16","   22.82","    0.00","    0.16","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.16","    0.00","    0.00","    0.00","    0.16","    6.13","    0.00","    0.00","    0.00","    0.00","   45.97","    0.00"
"486",1950,6,"    0.16","    0.16","    2.24","    0.00","    0.79","   11.25","    0.00","   17.48","    6.13","    0.00","    0.00","    0.16","    0.00","    0.00","    0.16","   22.27","    0.00","    0.16","    6.47","    6.13","    0.00","   23.16","    0.00","    0.00","   18.59","    4.24","    0.16","    0.00","    6.47","    0.16","NA"
"487",1950,7,"   14.03","    0.00","    0.16","    3.02","    0.16","    0.00","    0.00","    0.00","    0.16","    0.00","    9.02","    4.24","    0.16","    6.13","   29.39","   10.36","    6.47","    0.00","    0.00","    0.00","    0.00","    0.00","    0.16","    0.16","    0.00","    8.47","    5.02","   17.48","    1.68","    0.00","    0.00"
"488",1950,8,"    0.16","    0.00","    0.00","    0.00","    0.00","    0.00","    1.12","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   18.37","    0.00","    0.16","    0.00","    3.91","    3.35","    1.68","    1.68","   16.37","    0.00","   37.51","    0.00","    0.00","    0.00","    0.00","    0.00","    5.02","    0.00"
"489",1950,9,"    0.00","    0.16","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   14.92","    0.16","    0.16","    0.16","    0.16","    5.35","   19.15","    0.00","    0.00","    0.00","    0.16","    0.00","    1.90","    0.00","    0.00","    9.80","    0.00","    2.24","    0.00","NA"
"490",1950,10,"   62.11","    9.58","    0.16","    1.12","NA","   27.94","   21.15","NA","NA","NA","NA","    0.16","NA","NA","    7.02","    7.91","    0.16","NA","NA","NA","NA","NA","NA","NA","NA","NA","    5.58","    0.79","NA","NA","NA"
"491",1950,11,"   28.50","    0.00","    0.00","    1.72","    6.75","   10.05","    0.00","    5.03","    1.72","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00","    3.31","    3.31","    1.72","    0.13","   10.05","   10.05","    0.00","    8.47","    1.72","    0.00","   10.05","    0.00","    0.00","    1.72","    0.13","NA"
"492",1950,12,"    0.13","    1.72","    0.13","    0.00","    0.00","    0.00","   16.80","    6.75","    0.13","    0.00","    0.00","    0.00","    1.72","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","    6.75","    0.00","    6.75","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00","   10.05"
"493",1951,1,"    6.75","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.72","    0.13","    0.00","    0.00","    0.00","   10.05","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.13","   23.55","    3.31","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.31","    3.31"
"494",1951,2,"    0.00","    0.13","    6.75","    0.00","   16.80","   23.55","    0.00","    0.00","   10.05","    6.75","    1.72","    0.00","    0.00","    0.00","    0.00","    0.00","    0.16","    0.13","    0.00","    0.00","    0.00","    0.00","   10.05","    6.13","    4.99","   10.05","    0.00","   10.05","NA","NA","NA"
"495",1951,3,"    6.75","    6.75","    6.75","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.13","    3.31","    0.00","    0.00","    0.00","    0.00","    0.00","    3.31","   20.11","    3.31","    0.00","   10.05","    0.00","    0.00","    0.00","    0.00","    0.16","    2.79","   14.70","   30.46","    0.13"
"496",1951,4,"    0.00","    0.13","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","    0.00","    0.16","    0.00","    0.13","    0.13","    6.75","    1.72","    0.00","    0.00","    0.00","    0.00","    0.00","    3.31","    0.13","    0.00","    0.00","    0.00","    0.00","   30.50","    0.00","    0.00","    0.00","NA"
"497",1951,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"498",1951,6,"    0.00","    2.46","    1.35","    0.00","    3.57","    0.00","    0.00","    0.16","    3.91","    0.00","    0.16","    0.16","    0.00","    0.00","    3.57","    0.00","    0.00","    0.00","   12.14","   12.70","    0.00","    3.57","    4.24","    0.00","    0.00","   39.85","    9.80","    1.35","   21.15","    2.46","NA"
"499",1951,7,"    0.16","    1.12","    0.00","    0.00","    0.00","    7.02","    0.00","    0.00","    0.16","    0.00","    0.16","    0.00","    0.16","    7.58","    0.00","    0.00","    3.35","    1.35","    0.16","    9.80","    0.79","    1.68","    0.00","    3.02","    0.00","    0.00","    1.68","    0.16","    0.79","   14.92","    0.00"
"500",1951,8,"   23.16","    0.16","    0.00","    0.00","    0.00","   16.93","    0.00","    1.35","    0.00","    0.16","    0.00","    0.16","    0.00","    0.00","    0.00","    0.00","    0.00","    0.16","    0.00","    7.91","    0.16","    0.00","    0.00","    0.00","   24.83","    0.16","    0.00","    1.68","    0.00","   12.14","    0.00"
"501",1951,9,"    0.00","    0.00","    0.00","    0.00","    6.47","    0.16","    0.00","    0.00","   39.52","   17.15","    1.68","   43.52","    0.00","    4.46","    0.00","    0.16","    0.00","    3.35","   12.36","   20.04","    4.24","    0.00","    0.00","    0.00","    0.16","   36.18","    2.46","    0.00","    2.79","    0.00","NA"
"502",1951,10,"    2.79","   16.59","    0.00","   10.36","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    5.35","    0.00","    7.58","    7.91","   24.83","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","   13.49","    6.75","    0.13"
"503",1951,11,"    0.13","    0.13","    0.13","    0.13","    0.13","    0.13","    0.00","    0.00","    0.00","    0.00","    0.13","   13.48","   19.62","    3.31","    0.13","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.13","   26.86","    0.00","    3.31","    0.00","    0.00","    0.00","NA"
"504",1951,12,"    0.00","    1.35","    1.35","    0.00","    0.00","    3.47","    3.31","    0.13","    0.00","    5.03","    0.00","    0.00","    0.00","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.72","    0.00","    0.13","    3.31","    3.31","    0.00","   13.49"
"505",1952,1,"    0.00","    0.00","    0.00","    0.00","    0.00","    1.72","    0.00","    1.72","    5.03","    3.31","    1.72","    3.31","    6.75","    6.75","    3.31","    3.31","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   13.49","    3.31","    0.00","    0.00","    0.00","    3.31","    0.00","    0.00"
"506",1952,2,"    0.00","   13.65","    0.00","    0.00","    0.00","    6.75","    0.13","    0.00","    3.31","    6.75","    0.13","    0.00","    0.00","    0.00","    0.13","    3.31","    0.13","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.31","    0.00","    3.31","NA","NA"
"507",1952,3,"    0.00","   10.05","   16.80","    0.00","    0.00","    0.00","    0.00","   10.05","    3.31","    0.13","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.75","    5.03","    0.00","    0.00","    6.75","    6.75","    0.00","    0.00","    0.00","    0.00","    0.00","    1.72","    2.79","    7.91"
"508",1952,4,"   10.82","    5.03","    0.13","    0.13","    0.00","    0.00","    0.00","    0.00","    0.29","   10.05","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   32.50","    0.00","    0.00","    0.00","    0.00","    0.16","    0.00","    0.00","    0.00","    0.00","NA"
"509",1952,5,"    0.00","    0.00","    0.79","   11.25","    0.00","    0.00","    1.90","    0.00","    0.00","   10.69","    0.00","    0.00","    0.16","    0.16","    0.00","    5.91","    1.35","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.12","    0.00","    0.00","   25.16","    2.46","    1.68","    2.46","    0.00"
"510",1952,6,"    0.00","   31.28","    0.00","    0.16","   12.36","    0.00","    1.90","    0.00","    0.16","    0.16","    0.00","    0.00","    2.46","    0.00","    8.47","    5.58","    0.16","    4.46","    0.16","    0.00","    0.00","    0.00","   11.58","    8.69","    3.57","    0.00","    0.00","    0.00","   37.51","    1.12","NA"
"511",1952,7,"    0.00","    0.16","    0.16","    0.00","    0.00","   17.15","   27.05","    0.00","    0.00","    0.16","    0.00","   17.15","    0.00","    0.00","   18.93","    0.00","    0.16","    6.13","    0.00","   12.92","    0.00","   21.71","    0.16","    9.02","   14.37","   16.93","    0.00","    0.00","   13.48","    0.00","    4.24"
"512",1952,8,"    0.00","    0.00","    0.00","    0.00","    8.13","    0.00","    7.36","   16.93","    0.00","    0.00","    0.00","    1.12","    4.46","   20.04","    0.00","    0.00","    0.00","    0.16","    0.00","    3.35","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.47","    0.00","    0.00","   27.61","    0.16"
"513",1952,9,"    1.12","    0.00","    1.12","    3.35","    0.16","    0.00","    0.16","    0.00","    1.12","    0.00","    0.00","    0.00","   11.25","    0.79","    0.00","    0.16","    0.16","    0.16","    0.00","    0.00","    0.00","    0.16","    0.00","    0.00","    0.16","    0.00","    0.00","    0.00","    0.00","    7.58","NA"
"514",1952,10,"    2.46","    0.00","    0.16","    0.00","    2.51","    0.13","    0.00","    0.16","    0.00","    0.00","    0.00","    9.58","    1.68","    0.16","    3.31","    0.00","    0.16","    0.29","    0.16","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.16","    0.13","    0.00","    0.00","    0.00","    1.90"
"515",1952,11,"    1.35","    1.90","    0.00","    0.00","    2.37","    0.00","    0.13","    1.72","    0.13","    5.03","    0.00","    0.13","    0.00","    0.00","    0.00","    0.00","    5.35","    0.79","    0.29","    0.13","    0.00","    2.51","    0.00","    0.13","    8.63","   13.65","    0.00","    0.13","    0.00","    0.00","NA"
"516",1952,12,"    0.00","    0.00","    0.00","   11.26","    8.47","    0.00","    0.00","    1.35","    0.00","    0.00","    0.00","    0.13","    1.72","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.59","    7.27","    0.13","    1.72","    0.00","    0.00","    0.13","    0.00","    0.00","    0.00"
"517",1953,1,"    0.00","    0.00","    0.00","    0.13","    0.00","    6.75","    0.13","    0.00","    0.00","    0.00","   10.05","    0.00","    6.75","    3.31","    3.31","    0.13","    6.75","    3.31","    3.31","    1.72","    0.00","    0.00","    0.00","    0.00","    0.00","    6.75","    6.75","    0.00","    0.00","    6.75","    0.00"
"518",1953,2,"    0.00","    1.72","    1.72","    0.13","    0.16","    0.13","    0.13","    0.00","    0.00","    0.13","    6.75","    0.13","    3.31","    0.00","    0.00","    0.00","    0.13","   10.05","    0.00","    6.75","    0.00","    0.13","    3.31","    0.00","    6.75","    0.13","    0.00","    0.00","NA","NA","NA"
