"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"373",1950,1,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    7.45","    7.45","    0.00","    0.00","    0.00","    0.00","    0.00","    1.76","    0.00","    0.00","   10.00","    0.00","    0.00","    0.00","    1.96","    0.00","    0.00","    0.00"
"374",1950,2,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.72","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.27","    0.00","    0.00","    7.45","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    0.00","NA","NA","NA"
"375",1950,3,"    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   14.90","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.78","    0.00","    0.00","    7.45","    0.00","    0.00","    0.00","    3.72","    0.00","    0.00","    0.00","    0.00","    0.00","   12.45","    0.00","    0.00","    0.00","    0.00"
"376",1950,4,"    0.00","    2.45","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.49","    5.00","    5.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.27","    0.00","    0.00","   14.90","    0.00","    0.00","    0.00","    0.00","    7.45","NA"
"377",1950,5,"    0.00","    0.00","    0.00","    3.21","   39.37","    0.00","    0.00","    0.00","   18.27","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   12.34","    0.00","    0.00","   23.13","    0.00","    0.00","    0.00","    0.00","    0.00","   22.89","    7.84"
"378",1950,6,"    0.84","    0.00","    0.00","    0.00","    0.00","   15.31","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   45.42","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.21","    0.00","   43.88","    4.75","    0.00","    3.57","    3.21","    0.00","NA"
"379",1950,7,"   15.66","    0.00","    0.00","    1.43","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.62","    0.00","    0.84","    9.26","    4.75","    0.00","    0.00","    0.00","    0.00","    3.57","    0.00","    0.84","    0.00","    0.00","    0.00","    0.00","    0.00","    0.84","    0.00","    3.57"
"380",1950,8,"   15.31","    0.00","    0.00","    0.00","    0.00","    0.00","    2.03","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","   16.25","    5.35","    1.20","    0.00","    2.38","    0.00","    0.00","    2.38","    1.79","    5.70","   28.58","    0.00","    0.00","    0.00","    0.00","    0.00","    1.79","    0.00"
"381",1950,9,"    0.00","   15.66","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.03","    1.79","    0.00","    0.00","    0.00","    0.00","    1.79","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","NA"
"382",1950,10,"    7.84","   16.85","    1.43","    0.00","    0.00","    0.00","    6.89","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.79","    4.16","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"383",1950,11,"    0.00","    0.00","    0.00","    0.00","    3.21","    0.00","    0.00","   24.89","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.49","    7.45","    3.72","    0.00","    0.78","    0.49","    2.45","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","NA"
"384",1950,12,"    0.00","    1.96","    7.45","    0.00","    0.00","    0.00","    3.72","   10.00","    2.45","    0.00","    0.00","    1.27","    0.00","    0.00","    0.00","    0.00","    0.00","    0.49","    0.78","    0.00","    7.45","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"385",1951,1,"    1.27","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.45","    0.00","    0.00","    0.00","    0.00","    0.00","    1.27","    0.00","    0.00","    0.00","    2.45","    7.45","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00"
"386",1951,2,"    0.00","    0.00","    1.27","    0.00","    0.00","   17.44","    0.00","    0.00","    0.00","    3.72","    2.45","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.79","    6.30","    0.00","   10.00","    0.00","    0.00","NA","NA","NA"
"387",1951,3,"    8.72","    0.00","   22.44","    0.00","    0.00","    0.00","    2.45","    0.00","    0.00","    0.00","    0.00","    1.96","    0.00","    0.00","    0.00","    0.00","    0.00","    7.45","    6.76","    0.78","    0.00","    0.49","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.27","   14.90"
"388",1951,4,"    1.96","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    0.00","    0.00","    0.00","    1.43","    0.00","    0.00","    1.76","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    6.96","    0.00","    0.00","    0.00","    0.00","    9.26","    0.00","    0.00","    0.00","NA"
"389",1951,5,"    0.00","    0.00","    0.00","    0.00","    0.49","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    3.21","    0.00","    2.98","    0.00","    0.00","    0.00","    6.53","    0.00","    0.00","    0.00","    0.00","    0.00","    9.26","   14.12","    0.00","    0.00","    0.00","    0.00"
"390",1951,6,"    0.00","    0.00","    4.16","    0.00","    0.00","    0.00","    0.00","    7.84","    0.00","    0.00","    0.00","    2.62","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.03","    0.00","   10.80","    0.00","    0.00","    0.00","    0.00","   10.45","    9.85","   14.95","    0.00","    2.38","NA"
"391",1951,7,"    5.70","    0.00","    0.00","    0.00","    0.00","    1.79","    0.00","    0.00","    0.00","    2.98","    0.00","    0.00","    0.00","    6.53","    0.84","    0.00","    0.00","    0.00","    0.00","    0.00","    2.03","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    9.26","    0.00"
"392",1951,8,"    0.00","    0.00","    0.00","    0.00","    0.84","   10.80","    0.00","    0.00","    0.00","    3.21","    3.21","    0.00","    0.00","    0.84","    0.00","    0.00","    4.52","    0.00","    2.03","   19.81","    5.11","    0.00","    0.00","    0.00","   11.75","    0.00","    0.00","    1.43","    0.00","   16.85","    0.00"
"393",1951,9,"    0.00","    0.00","    0.00","    0.00","   10.80","    1.79","    0.00","    0.00","    0.00","    9.85","    0.00","    0.00","    0.00","   10.45","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    8.67","    1.43","    0.00","    0.00","    0.00","   20.76","    5.00","    0.00","    0.00","    0.00","NA"
"394",1951,10,"    0.00","    0.00","    6.30","    5.70","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    2.38","    5.35","    0.00","    0.00","    0.00","    0.00","    0.00","   17.34","    4.16","   24.89","    0.00","    0.00","    0.00","    0.00","    0.00","    5.00","    1.27","    1.76","    2.45"
"395",1951,11,"    1.76","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.79","    0.00","    7.45","    0.00","    0.00","    4.51","    0.00","    0.00","    0.00","    0.00","    1.76","    0.00","    0.00","   14.90","    0.00","    2.45","    0.00","    0.00","    0.00","NA"
"396",1951,12,"    0.00","    0.00","    1.79","    0.49","    0.78","    0.00","    7.45","    0.00","    1.96","    0.49","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    0.00","    1.96","    0.00","    0.00","    0.00","    0.00","    0.00","    2.94","    0.00","    0.00","    3.72","    0.00","   12.45"
