"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"145",1950,1,"    4.69 ","    7.91 ","   12.59 ","    2.82 ","    0.00 ","   22.25 ","    0.38 ","    1.25 ","    1.05 ","    9.23 ","    0.11","    0.15","   10.31 ","    0.11","    7.71","    0.00 ","    0.11","    0.11","    0.38 ","    0.63 ","    3.41 ","    3.45 ","    4.75 ","    2.41","    4.69 ","    0.11","    0.00 ","    0.15","    0.26","   11.13 ","    0.11"
"146",1950,2,"    0.11","    0.11","    0.11","    0.00 ","    0.11","    0.64","    0.11","    2.62 ","    6.49 ","    0.63 ","    0.00 ","    0.00 ","   15.88 ","    5.32 ","    0.26","    0.11","    0.00 ","    3.13 ","    0.11","    0.00 ","   31.13 ","   10.50 ","    0.38 ","    6.63 ","    0.11","    0.38 ","    0.00 ","    6.38 ","NA","NA","NA"
"147",1950,3,"    2.25 ","    2.25 ","    0.11","    0.11","    0.00 ","    0.00 ","    1.26 ","    0.26","    0.11","    3.13 ","    6.63 ","    5.75 ","    6.63 ","    2.50 ","    0.11","    0.00 ","   20.38 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.94 ","    3.03 ","    0.15","    0.00 ","   13.11 ","    1.78 ","    1.16","    0.11","    0.00 ","    0.11"
"148",1950,4,"   15.99 ","    5.80 ","   21.85 ","    2.82 ","    0.11","    0.00 ","    0.11","    0.11","    0.00 ","    2.30 ","    0.85","    0.11","    0.11","    0.00 ","    0.00 ","    0.53 ","    0.00 ","    0.15","    8.95 ","    0.64","    0.11","    3.34 ","    0.00 ","    0.15","    5.21 ","    0.00 ","    1.26 ","    0.00 ","    0.00 ","    0.74 ","NA"
"149",1950,5,"    0.00 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.53 ","    0.15","    0.00 ","    0.15","   11.03 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    1.26 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    4.17 "
"150",1950,6,"    0.15","    3.96 ","    1.26 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","    0.74 ","    2.61 ","    0.00 ","    1.05 ","    7.39 ","    0.15","    0.00 ","   11.35 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","    0.00 ","   28.51 ","    8.95 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.15","    1.78 ","    1.26 ","NA"
"151",1950,7,"    0.00 ","    6.04 ","    0.53 ","    0.00 ","    1.78 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    2.61 ","    0.15","    0.00 ","   12.07 ","    0.00 ","    0.00 ","    2.61 ","    3.34 ","    0.00 ","    5.21 ","    1.57 ","    0.15","    0.15","    2.30 ","   30.59 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","   11.35 ","   21.85 ","   21.85 "
"152",1950,8,"    4.69 ","    7.39 ","    1.26 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    6.25 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.15","    0.74 ","    9.99 ","    0.15","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.00 ","   31.63 ","   20.81 ","    0.15","    7.60 "
"153",1950,9,"    0.00 ","    0.00 ","    0.74 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.00 ","    0.15","    5.52 ","    6.25 ","    1.05 ","    2.82 ","    0.00 ","    0.00 ","    2.82 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.53 ","    0.15","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","NA"
"154",1950,10,"    0.00 ","    0.15","    4.28","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","   41.19 ","    1.26 ","   27.67 ","    2.82 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","    0.15","    0.00 ","    0.00 ","    0.15","    0.15","    0.00 ","    5.21 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
