"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33"
"601",1950,1,"    0.21","    9.91 ","    0.21","    0.00 ","    0.21","    0.00 ","    0.21","    0.21","    4.25 ","    0.35 ","    0.35 ","    0.59 ","    5.07 ","    5.66 ","    9.91 ","    0.21","    2.36 ","    0.21","    0.21","    0.94 ","    2.71 ","    0.00 ","    5.43 ","   17.94 ","    1.18 ","    0.21","    0.94 ","    1.53 ","    0.00 ","    0.00 ","    0.21"
"602",1950,2,"    0.21","    0.21","    0.00 ","    0.00 ","    0.21","    0.21","    4.21 ","    0.59 ","    0.59 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.43 ","    2.12 ","    3.89 ","    2.71 ","    0.35 ","    7.79 ","    0.21","    0.21","    0.00 ","    0.21","    1.53 ","    3.54 ","NA","NA","NA"
"603",1950,3,"    0.21","    0.00 ","    0.00 ","    0.30","    0.94 ","   14.04 ","    0.21","    0.00 ","    0.00 ","    0.21","    0.00 ","    0.21","    0.35 ","    0.21","    0.21","    6.02 ","    0.21","    0.00 ","    0.00 ","    0.94 ","    0.94 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    9.91 ","    3.30 ","    0.00 ","    0.00 ","    0.21","    0.21"
"604",1950,4,"    0.21","    1.18 ","    0.00 ","    0.00 ","    0.00 ","    1.53 ","    0.00 ","    6.02 ","    3.30 ","   12.27 ","    0.35 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    6.43 ","    6.02 ","    0.00 ","    0.21","    0.30","    0.00 ","    2.95 ","    8.97 ","    4.48 ","    0.00 ","    0.00 ","    6.02 ","    2.12 ","NA"
"605",1950,5,"    1.18 ","    3.45 ","    0.00 ","    7.39 ","   15.27 ","    1.78","    0.00 ","    6.25","    8.37 ","    0.00 ","    1.05 ","    0.00 ","    0.53 ","    0.53 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    6.56 ","    0.53 ","    4.48 ","    1.78 ","    2.09 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    5.73 ","    5.21 ","    2.30 "
"606",1950,6,"    1.05 ","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    0.53 ","    3.34 ","    0.30","    0.00 ","    7.60 ","    0.00 ","    0.30","    5.00 ","    0.00 ","    0.00 ","    4.69 ","    0.74 ","    0.00 ","    0.53 ","    4.17 ","    0.00 ","    0.30","   17.17 ","    0.53 ","    7.91 ","    0.74 ","    0.53 ","    0.30","NA"
"607",1950,7,"    0.00 ","    0.30","    6.04 ","    0.00 ","    1.26 ","    0.00 ","    0.00 ","   11.55 ","    0.00 ","    0.00 ","   19.46 ","    0.74 ","    1.05 ","    2.61 ","   13.43 ","    0.00 ","    1.57 ","    0.00 ","    0.00 ","    0.30","    4.69 ","    0.74 ","    0.00 ","   18.94 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","   12.39 "
"608",1950,8,"    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   21.64 ","    7.60 ","    0.30","    0.00 ","    0.00 ","   13.95 ","    0.30","    2.09 ","    1.05 ","    5.00 ","    1.26 ","    1.05 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.74 ","    0.00 ","    0.00 "
"609",1950,9,"    1.57 ","    5.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    7.60 ","   13.43 ","    8.95 ","    8.64 ","    1.26 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    1.05 ","    7.39 ","    0.00 ","    0.00 ","   15.51 ","NA"
"610",1950,10,"    1.26 ","   23.59 ","    1.09 ","    0.00 ","    0.30","    3.65 ","    1.05 ","    0.00 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","    0.00 ","    3.65 ","    2.61 ","    0.00 ","    0.30","    5.21 ","    0.51","    4.90","    0.00 ","    0.00 ","    1.26 ","    0.88 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
"611",1950,11,"    0.00 ","    0.21","    0.21","    4.52 ","    4.38","    1.18 ","    0.21","    1.53 ","    0.94 ","   15.34 ","    1.53 ","    0.21","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.21","    2.95 ","    0.59 ","    2.95 ","    1.53 ","    8.14 ","    2.95 ","    3.30 ","    0.94 ","    0.21","    0.21","    0.21","    0.21","    0.21","NA"
"612",1950,12,"    2.95 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.59 ","    1.18 ","    6.02 ","    2.95 ","    2.36 ","    1.18 ","    0.59 ","    0.21","    0.21","    0.21","    0.21","    0.00 ","    0.94 ","    0.21","    0.94 ","    8.38 ","    0.21","    1.18 ","    0.00 ","    0.00 ","    0.21","    0.94 ","    0.00 ","    0.21","    0.00 ","    7.20 "
"613",1951,1,"    2.95 ","    0.35 ","    0.21","    0.59 ","    0.21","    0.21","    0.00 ","    0.00 ","    0.21","    0.21","    0.21","    0.00 ","    1.18 ","    0.21","    0.21","    1.77 ","    0.35 ","    0.21","    0.00 ","    0.00 ","    0.21","    3.54 ","    6.25 ","    0.21","    0.94 ","    0.00 ","    0.21","    0.21","    0.21","    0.21","    0.00 "
"614",1951,2,"    0.21","    0.21","    2.36 ","    0.21","    8.14 ","    0.21","    0.21","    0.00 ","    0.35 ","    1.77 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.51","    0.21","    0.21","    0.21","    0.21","    0.51","    0.53 ","    0.51","    9.91 ","    0.21","    0.21","NA","NA","NA"
"615",1951,3,"    3.89 ","    0.21","    1.18 ","    0.35 ","    1.77 ","    0.21","    1.18 ","    2.12 ","    0.21","    8.97 ","    5.66 ","    1.18 ","    0.21","    0.35 ","    0.00 ","    0.59 ","    1.77 ","    8.38 ","   15.58 ","    1.18 ","    1.77 ","    0.94 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    7.79 ","    0.59 "
"616",1951,4,"    0.94 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.21","    0.89","    4.17","    2.82 ","    4.14 ","    0.21","    0.00 ","    2.12 ","    0.59 ","    0.21","    0.00 ","    0.00 ","    0.00 ","    1.53 ","   11.79 ","    0.21","    0.21","    0.00 ","    0.00 ","    0.00 ","   26.63 ","    0.30","    0.00 ","    0.00 ","NA"
"617",1951,5,"    0.30","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    0.00 ","    0.00 ","    0.30","    0.00 ","    4.69 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   19.46 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    7.91 ","    0.30","    1.26 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 "
"618",1951,6,"    0.00 ","    8.12 ","    1.05 ","    0.00 ","    0.00 ","    0.30","    8.12 ","    0.30","    0.00 ","    0.00 ","    1.78 ","    0.53 ","    3.34 ","    0.74 ","    3.13 ","    1.05 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    3.13 ","    0.00 ","    2.82 ","    0.00 ","    0.30","    2.30 ","    4.69 ","    9.47 ","NA"
"619",1951,7,"    1.26 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.30","    1.26 ","    1.57 ","    0.30","    0.53 ","    0.30","    0.00 ","    0.00 ","    3.96 ","    0.74 ","    0.00 ","    3.34 ","    0.30","    0.00 ","    2.09 ","    0.00 ","    0.00 ","    2.82 ","    2.30 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    7.91 ","    1.78 ","    0.00 "
"620",1951,8,"    0.00 ","    2.30 ","    0.00 ","    0.30","   10.51 ","    2.61 ","    4.17 ","    0.53 ","    1.26 ","    0.53 ","    1.05 ","    0.00 ","    0.00 ","    0.00 ","   21.12 ","    0.00 ","    0.00 ","    7.60 ","    0.30","   11.55 ","    0.30","    0.00 ","    0.30","    2.30 ","    5.00 ","    5.00 ","    0.00 ","    0.00 ","    0.00 ","   12.07 ","    0.00 "
"621",1951,9,"    4.17 ","    0.00 ","    0.53 ","    0.30","   26.95 ","    1.26 ","    0.00 ","    0.00 ","    0.00 ","    2.09 ","    0.00 ","    0.30","   11.55 ","    1.78 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","   12.07 ","    5.21 ","    2.30 ","    7.60 ","    2.82 ","    0.00 ","    4.52 ","    7.36 ","    4.84 ","    0.94 ","    0.00 ","    0.53 ","NA"
"622",1951,10,"    0.00 ","    6.87 ","    0.30","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.74 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.53 ","    0.00 ","    0.00 ","    0.21","    0.00 ","    0.00 ","    3.89 ","    0.94 ","    1.53 ","    0.00 ","    0.00 ","    0.00 ","    0.59 ","    1.53 ","    6.02 ","    8.97 ","    0.35 ","    0.21","    0.94 "
"623",1951,11,"    2.36 ","    2.71 ","    0.94 ","    0.21","    0.21","    0.35 ","    0.30","    0.30","    0.21","    0.21","    0.30","    0.53 ","    1.71 ","    8.14 ","    1.53 ","    0.94 ","    0.21","    0.21","    0.00 ","    0.00 ","    0.21","    0.21","    0.00 ","    0.21","    1.77 ","    0.00 ","    0.89","    0.00 ","    0.00 ","    0.00 ","NA"
"624",1951,12,"    0.00 ","    0.30","   39.84 ","    1.18 ","    6.61 ","    0.21","    0.89","    2.36 ","    0.94 ","    4.84 ","    0.35 ","    0.21","    0.21","    0.21","    0.21","    0.21","    0.21","    0.00 ","    0.00 ","    0.21","    0.35 ","    0.21","    0.21","    0.21","    2.71 ","    0.21","    0.21","    0.35 ","    0.21","    5.53 ","    0.21"
"625",1952,1,"    0.21","    0.21","    0.00 ","    0.21","    0.21","    0.21","    0.00 ","    0.21","    0.21","    0.00 ","    0.21","    6.61 ","    0.94 ","    0.59 ","    0.35 ","    5.66 ","    1.77 ","    0.00 ","    0.21","    0.00 ","    0.21","    0.00 ","    0.21","    0.35 ","    0.35 ","    0.00 ","    0.35 ","    0.21","    0.21","    0.21","    0.51"
"626",1952,2,"    0.35 ","    0.51","    0.21","    0.51","    0.21","    0.59 ","    0.21","    6.84 ","    0.94 ","    6.25 ","    0.00 ","    0.00 ","    0.00 ","    2.36 ","    0.21","    0.21","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.00 ","    0.21","    0.59 ","    0.21","    0.21","    0.35 ","    2.71 ","NA","NA"
